Subject Name,Day,Start Time,End Time,Location
Data Structures,Monday,09:00,10:00,Room 201
Data Structures,Wednesday,09:00,10:00,Room 201
Data Structures,Friday,09:00,10:00,Room 201
Operating Systems,Monday,10:00,11:00,Room 305
Operating Systems,Wednesday,10:00,11:00,Room 305
Operating Systems,Friday,10:00,11:00,Room 305
Database Management Systems,Tuesday,09:00,10:00,Room 102
Database Management Systems,Thursday,09:00,10:00,Room 102
Software Engineering,Tuesday,10:00,11:00,Room 204
Software Engineering,Thursday,10:00,11:00,Room 204
Computer Networks,Monday,11:00,12:00,Room 308
Computer Networks,Wednesday,11:00,12:00,Room 308
Computer Networks,Friday,11:00,12:00,Room 308
Engineering Mathematics,Monday,08:00,09:00,Room 101
Engineering Mathematics,Tuesday,08:00,09:00,Room 101
Engineering Mathematics,Thursday,08:00,09:00,Room 101
Engineering Mathematics,Friday,08:00,09:00,Room 101
Physics Lab,Tuesday,14:00,16:00,Lab Block B
Physics Lab,Friday,14:00,16:00,Lab Block B
Technical Communication,Wednesday,12:00,13:00,Seminar Hall
Technical Communication,Friday,12:00,13:00,Seminar Hall
Digital Electronics,Monday,14:00,15:00,Room 209
Digital Electronics,Wednesday,14:00,15:00,Room 209
Digital Electronics,Thursday,14:00,15:00,Room 209
